,ChEMBL_ID,canonical_smiles,activity_flag
150,CHEMBL4291623,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)SC(=C(C)C)C2=O)nn1,active
151,CHEMBL3794545,Cc1cnc(C(=O)NN2C(=O)CS[C@@H]2c2ccc([N+](=O)[O-])cc2)cn1,active
152,CHEMBL3261558,COc1ccccc1N1C(=O)CSC1c1cccc(Cl)c1,active
153,CHEMBL4280306,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/CCCCC)C2=O)nn1,active
154,CHEMBL4294458,COc1ccc2c(c1)nc(/C=C1\SC(=S)N(CC(=O)O)C1=O)n2Cc1ccc(C)cc1,active
156,CHEMBL4286115,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,active
157,CHEMBL4285092,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(F)cc2)SC1=S,active
158,CHEMBL4291331,COc1ccc(C(=O)Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,active
161,CHEMBL4288578,Cc1ccc(C(=O)Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,active
165,CHEMBL4294863,COc1c(/C=C2\SC(=S)NC2=O)c(NS(=O)(=O)c2cccs2)cc2c1OCO2,inactive
166,CHEMBL4283758,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/C)C2=O)nn1,active
167,CHEMBL175719,CC(O)CCC(=O)OC[C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO,active
170,CHEMBL4214639,N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1,active
174,CHEMBL3098837,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2,active
179,CHEMBL4210895,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc([N+](=O)[O-])cc2)SC1=S,active
185,CHEMBL2316324,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)NC1=O,inactive
188,CHEMBL5170428,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)CSC5=O)CC4)CC[C@]3(C)CC[C@]12C,active
189,CHEMBL3261537,O=C1CSC(c2cccc(Br)c2)N1c1cc(Cl)ccc1O,active
190,CHEMBL4295191,COc1cc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc(OC)c1,active
192,CHEMBL4204692,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(Cc5ccccc5)C4=O)ccc3[nH]2)cc(OC)c1OC,active
193,CHEMBL4208063,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc(OC)c1OC,active
195,CHEMBL4446992,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,active
199,CHEMBL4218601,COc1cc(CN2C(=O)S/C(=C\c3ccc4[nH]c(-c5cc(OC)c(OC)c(OC)c5)nc4c3)C2=O)cc(OC)c1OC,active
